StudentID,Age,Gender,ParentalEducation,StudyTimeWeekly,StudyTimeWeeklyCategory,Absences,AbsencesCategory,Tutoring,ParentalSupport,ExtracurricularCategory,Extracurricular,Sports,Music,Volunteering,Year Level,GPA,Previous Grades,GradeCategory,GradeCategories,GradeClass,Subject,RoundedClass
1001,17,1,2,19.83372281,2,7,1,1,2,0,0,0,1,0,4,2.475955512,2.929195592,0,1,2,1,3
1002,18,0,1,15.40875606,0,0,0,0,1,1,0,0,0,0,3,3.138303975,3.042914833,0,0,1,2,2
1003,15,0,3,4.210569769,1,26,2,0,2,0,0,0,0,0,1,0.1336117943,0.1126022545,4,4,4,2,2
1004,17,1,3,10.02882947,0,14,2,0,3,0,1,0,0,0,2,2.154193229,2.05421814,2,2,3,3,3
1005,17,1,2,4.672495273,1,17,2,1,3,0,0,0,0,0,2,1.27586398,1.288061182,3,3,4,1,3
1006,18,0,1,8.191218545,2,0,0,0,1,0,1,0,0,0,4,2.89803987,3.084183614,0,0,1,2,2
1007,15,0,1,15.60168047,2,10,1,0,3,0,0,1,0,0,3,2.499819733,2.748237415,1,1,2,3,2
1008,15,1,4,15.42449631,0,22,2,1,1,1,1,0,0,0,4,1.437307106,1.360142712,3,3,4,2,3
1009,17,0,0,4.562007558,2,1,0,0,2,0,0,1,0,1,4,2.461146823,2.89681919,1,1,2,1,2
1010,16,1,1,18.44446636,1,0,0,0,3,1,1,0,0,0,4,3.612769917,3.57347421,0,0,0,3,3
1011,17,0,1,11.85136366,1,11,1,0,1,0,0,0,0,0,3,2.226347251,2.147171625,1,2,3,1,2
1012,17,0,1,7.598485819,1,15,2,0,2,0,0,0,0,1,1,1.516751095,1.559594519,2,2,4,2,2
1013,17,0,1,10.03871162,1,21,2,0,3,1,1,0,0,0,2,1.795223512,1.520077815,2,2,4,2,3
1014,17,0,2,12.10142507,1,21,2,0,4,0,0,1,0,0,4,1.819794919,1.751580958,2,2,4,1,2
1015,18,1,1,11.19781064,1,9,1,1,2,1,0,0,0,0,4,2.1188463,2.396788117,1,1,3,1,3
1016,15,0,2,9.728100711,1,17,2,1,0,0,0,1,0,0,1,1.595042661,1.341520717,3,3,4,1,2
1017,18,0,1,10.09865608,0,14,2,0,2,1,1,1,0,0,1,2.104209757,2.232175278,1,1,3,3,2
1018,18,1,0,3.528238209,2,16,2,1,2,1,0,0,0,0,4,1.389546637,1.384404176,3,3,4,3,3
1019,18,0,3,16.25465809,1,29,2,0,2,0,1,0,0,1,2,0.5214778948,0.4695533234,4,4,4,1,2
1020,17,0,1,10.8352064,0,9,1,0,2,1,0,0,1,0,1,2.573517974,2.395784095,1,1,3,2,3
1021,16,1,3,2.621597234,2,2,0,0,3,1,0,0,0,1,1,2.660159647,2.7784113,1,1,2,2,3
1022,15,0,2,15.32314203,2,25,2,0,1,1,1,0,0,0,1,0.2856172952,0.3468940367,4,4,4,3,2
1023,16,1,0,18.64887957,2,29,2,1,1,0,0,0,0,0,4,0.3392523448,0.3125462305,4,4,4,3,3
1024,18,1,4,18.94613798,1,20,2,0,2,0,1,0,0,0,4,1.921218707,1.770131877,2,2,4,1,3
1025,18,1,1,7.380354648,0,15,2,0,2,0,0,0,0,0,4,1.397595862,1.505155622,2,2,4,3,3
1026,16,1,3,2.710337471,1,5,0,0,4,0,0,0,1,0,3,2.890010106,2.977851918,0,1,2,1,3
1027,16,0,1,10.36799253,0,2,0,0,2,1,0,1,0,0,2,3.338086792,2.948717672,0,1,2,1,2
1028,16,1,3,2.252184587,2,8,1,0,3,1,0,0,1,0,1,2.137143934,2.14520472,1,2,3,3,3
1029,18,0,0,18.67974837,0,10,1,0,3,1,1,0,0,0,3,2.684238481,2.854803929,1,1,2,3,3
1030,18,0,2,3.671592547,0,20,2,0,3,0,1,0,0,0,3,1.380893541,1.519441726,2,2,4,3,2
1031,15,0,2,5.055317199,1,12,2,1,0,0,0,1,0,0,1,1.789036123,1.72712031,2,2,4,1,2
1032,15,0,3,8.132730538,1,17,2,0,4,1,0,0,0,1,1,1.693421578,1.847535471,2,2,4,2,3
1033,18,0,3,7.663289371,2,25,2,0,1,1,0,1,0,0,1,0.4578111777,0.3846169729,4,4,4,2,2
1034,16,0,3,15.89325785,1,21,2,0,0,1,1,1,0,0,3,1.03736732,0.9494060978,3,3,4,2,2
1035,16,0,3,9.126336411,0,27,2,1,2,1,1,1,0,0,2,1.015549601,1.140959418,3,3,4,2,3
1036,15,0,1,3.4153652,0,23,2,0,1,1,0,0,0,0,4,0.2883165974,0.2614722601,4,4,4,3,3
1037,18,0,1,5.34419791,1,26,2,1,1,0,0,0,0,0,2,0.2126865733,0.2182848568,4,4,4,2,2
1038,15,0,1,10.1822677,0,21,2,1,1,0,0,1,0,0,4,1.09483829,1.067763551,3,3,4,1,2
1039,15,1,1,2.949078349,1,3,0,1,1,1,1,1,0,0,3,3.3520284,3.018905858,0,0,1,1,3
1040,17,1,1,12.23311351,1,21,2,1,3,1,1,1,0,0,3,1.284809594,1.526867832,2,2,4,1,3
1041,17,1,2,11.31494613,2,23,2,1,1,1,0,0,0,0,3,1.142213014,1.0582874,3,3,4,1,3
1042,17,0,1,14.29404633,2,7,1,0,2,0,0,0,0,0,4,2.588988049,2.625128098,1,1,2,1,2
1043,16,1,2,18.75409231,2,12,2,1,4,0,0,0,0,0,1,2.433445161,2.808754822,1,1,2,1,2
